accident_index,accident_severity
201501BS70431,3
201501BS70432,3
201501BS70433,3
201501BS70434,3
201501BS70436,3
201501BS70438,3
201501BS70439,3
201501BS70440,3
201501BS70441,3
201501BS70443,3
201501BS70444,2
201501BS70445,3
201501BS70446,3
201501BS70447,3
201501BS70448,3
201501BS70449,3
201501BS70450,3
201501BS70451,3
201501BS70452,3
201501BS70453,3
201501BS70455,3
201501BS70457,3
201501BS70458,3
201501BS70459,2
201501BS70462,3
201501BS70463,3
201501BS70464,3
201501BS70465,3
201501BS70466,3
201501BS70467,3
201501BS70468,3
201501BS70470,3
201501BS70471,3
201501BS70472,3
201501BS70473,3
201501BS70475,3
201501BS70476,3
201501BS70477,3
201501BS70478,3
201501BS70479,3
201501BS70480,3
201501BS70481,3
201501BS70484,3
201501BS70485,3
201501BS70486,2
201501BS70487,3
201501BS70488,3
201501BS70489,3
201501BS70490,3
201501BS70492,3
201501BS70493,2
201501BS70495,3
201501BS70496,3
201501BS70497,3
201501BS70498,2
201501BS70499,3
201501BS70500,3
201501BS70501,3
201501BS70502,3
201501BS70503,3
201501BS70504,3
201501BS70505,3
201501BS70506,3
201501BS70507,3
201501BS70508,3
201501BS70509,3
201501BS70510,3
201501BS70513,3
201501BS70514,3
201501BS70516,3
201501BS70519,3
201501BS70520,2
201501BS70522,3
201501BS70525,3
201501BS70527,3
201501BS70528,3
201501BS70529,3
201501BS70531,3
201501BS70532,3
201501BS70533,3
201501BS70534,3
201501BS70535,3
201501BS70536,3
201501BS70537,3
201501BS70538,3
201501BS70539,3
201501BS70540,2
201501BS70542,3
201501BS70543,3
201501BS70544,3
201501BS70545,3
201501BS70546,3
201501BS70547,3
201501BS70548,3
201501BS70549,3
201501BS70550,3
201501BS70551,3
201501BS70553,3
201501BS70554,3
201501BS70555,3
201501BS70556,3
201501BS70557,3
201501BS70558,3
201501BS70559,3
201501BS70560,3
201501BS70561,2
201501BS70562,3
201501BS70563,3
201501BS70564,3
201501BS70565,3
201501BS70566,3
201501BS70567,3
201501BS70568,3
201501BS70569,3
201501BS70571,2
201501BS70572,3
201501BS70574,3
201501BS70575,3
201501BS70576,3
201501BS70577,3
201501BS70578,3
201501BS70579,3
201501BS70580,3
201501BS70581,3
201501BS70582,3
201501BS70583,3
201501BS70584,3
201501BS70585,3
201501BS70586,3
201501BS70588,3
201501BS70590,3
201501BS70591,3
201501BS70592,3
201501BS70593,3
201501BS70594,3
201501BS70595,3
201501BS70596,2
201501BS70597,3
201501BS70599,3
201501BS70601,3
201501BS70602,3
201501BS70603,2
201501BS70605,3
201501BS70606,3
201501BS70607,3
201501BS70608,3
201501BS70609,3
201501BS70610,3
